BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.12;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.62;%;Prozent;
3;Bonstetten;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.26;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;1.92;%;Prozent;
5;Hedingen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.75;%;Prozent;
6;Kappel a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;5.42;%;Prozent;
7;Knonau;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;8.18;%;Prozent;
8;Maschwanden;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;1.36;%;Prozent;
9;Mettmenstetten;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;2.12;%;Prozent;
10;Obfelden;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.40;%;Prozent;
11;Ottenbach;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.46;%;Prozent;
12;Rifferswil;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.25;%;Prozent;
13;Stallikon;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.78;%;Prozent;
14;Wettswil a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.00;%;Prozent;
21;Adlikon;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;0.85;%;Prozent;
22;Benken;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2012;2.26;%;Prozent;
