BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.47;%;Prozent;
2;Affoltern a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.42;%;Prozent;
3;Bonstetten;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.17;%;Prozent;
4;Hausen a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.39;%;Prozent;
5;Hedingen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;2.49;%;Prozent;
6;Kappel a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;5.90;%;Prozent;
7;Knonau;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.75;%;Prozent;
8;Maschwanden;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.02;%;Prozent;
9;Mettmenstetten;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;2.43;%;Prozent;
10;Obfelden;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.75;%;Prozent;
11;Ottenbach;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.36;%;Prozent;
12;Rifferswil;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.25;%;Prozent;
13;Stallikon;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.98;%;Prozent;
14;Wettswil a.A.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.00;%;Prozent;
21;Adlikon;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.69;%;Prozent;
22;Benken;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;3.10;%;Prozent;
23;Berg a.I.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.13;%;Prozent;
24;Buch a.I.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.55;%;Prozent;
25;Dachsen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;2.62;%;Prozent;
26;Dorf;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.57;%;Prozent;
27;Feuerthalen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.71;%;Prozent;
28;Flaach;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.19;%;Prozent;
29;Flurlingen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.31;%;Prozent;
30;Andelfingen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.88;%;Prozent;
31;Henggart;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.32;%;Prozent;
32;Humlikon;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.09;%;Prozent;
33;Kleinandelfingen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.07;%;Prozent;
34;Laufen-Uhwiesen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.58;%;Prozent;
35;Marthalen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.46;%;Prozent;
36;Oberstammheim;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.39;%;Prozent;
37;Ossingen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.67;%;Prozent;
38;Rheinau;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.30;%;Prozent;
39;Thalheim a.d.Th.;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.34;%;Prozent;
40;Trüllikon;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;2.11;%;Prozent;
41;Truttikon;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.55;%;Prozent;
42;Unterstammheim;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;2.12;%;Prozent;
43;Volken;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.00;%;Prozent;
44;Waltalingen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.05;%;Prozent;
51;Bachenbülach;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.11;%;Prozent;
52;Bassersdorf;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.61;%;Prozent;
53;Bülach;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.76;%;Prozent;
54;Dietlikon;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.18;%;Prozent;
55;Eglisau;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.69;%;Prozent;
56;Embrach;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.66;%;Prozent;
57;Freienstein-Teufen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.50;%;Prozent;
58;Glattfelden;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.84;%;Prozent;
59;Hochfelden;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.19;%;Prozent;
60;Höri;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.19;%;Prozent;
61;Hüntwangen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.69;%;Prozent;
62;Kloten;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.10;%;Prozent;
63;Lufingen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.00;%;Prozent;
64;Nürensdorf;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.64;%;Prozent;
65;Oberembrach;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.11;%;Prozent;
66;Opfikon;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.92;%;Prozent;
67;Rafz;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.03;%;Prozent;
68;Rorbas;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;0.91;%;Prozent;
69;Wallisellen;Bau und Immobilien;Wohnungen, Wohnbautätigkeit;Wohnungsbestand;373;Leerwohnungsquote [%];2013;1.41;%;Prozent;
